,id,stmt_date,HQ_city,legal_struct,ateco_sector,def_date,fs_year,asst_intang_fixed,asst_tang_fixed,asst_fixed_fin,asst_current,AR,cash_and_equiv,asst_tot,eqty_tot,eqty_corp_family_tot,liab_lt,liab_lt_emp,debt_bank_st,debt_bank_lt,debt_fin_st,debt_fin_lt,AP_st,AP_lt,debt_st,debt_lt,rev_operating,COGS,prof_operations,goodwill,inc_financing,exp_financing,prof_financing,inc_extraord,taxes,profit,days_rec,ebitda,roa,roe,wc_net,margin_fin,cf_operations
523,13630280,12/31/07,28,SRL,46,12/31/99,2007,5882,586802,0,1888818,1459205,1113,2481502,688875,,0,166792,432969,0,0,0,907822,0,1505556,0,3171049,2976664,194385,624189,-24196,24599,0,287,170476,81038,111.23,251321,7.83,11.76,383262,96191,137974
609,15360126,12/31/07,12,SRL,25,12/31/99,2007,1224308,26315904,13618,38751439,28423010,2154361,68472573,25357695,,0,1606320,1431865,6568135,0,0,27269654,0,33329600,7791583,81699907,74755630,6944277,21945935,135407,116845,0,22584,7102268,3938369,7.2,12666252,10.14,15.53,5421839,-2196135,9660344
427,11090453,12/31/07,45,SPA,46,12/31/99,2007,7964,304759,20774,4046232,2243915,66410,4421195,2423212,,0,299320,185526,0,0,26760,1270840,0,1524752,26760,5631761,5181848,449913,1350577,-2553,14056,0,10898,458258,246416,211.79,485736,10.18,10.17,2521480,2089715,282239
2308,40990228,12/31/07,22,SRL,25,12/31/99,2007,753886,3631978,0,3813297,1003848,240803,8230009,2941388,,0,373978,2331735,0,0,0,414536,0,560104,4354539,2736530,2559119,177411,1582062,-125599,150045,0,5111,56923,-16786,,624211,2.16,-0.57,3253193,-1444476,430014
1945,40150385,12/31/07,38,SRL,25,12/31/99,2007,2794,608714,2995,1216561,922376,17981,1839026,87067,,0,359798,437825,389329,0,0,411252,0,1000777,389329,1969875,1884167,85708,903088,-47707,47968,0,-8672,29329,-18314,,142407,4.66,-21.03,215784,-527436,38385
1588,35350073,12/31/07,7,SRU,46,12/31/99,2007,73783,2747284,48564,51062700,49548880,615750,53939324,10880120,,2084464,957212,210,0,0,0,7425510,0,39958261,0,330392971,329119343,1273628,5234620,1080161,1073281,0,915216,3269005,2514355,44.69,3104292,2.36,23.11,11104439,8010489,4345019
941,23370257,12/31/07,25,SPA,14,12/31/99,2007,507587,748537,8011,13057511,7536465,172236,14377448,1402703,,216711,633866,5854812,1937953,0,0,3760658,0,10151971,1937953,16245603,15871411,374192,2425034,-483765,463002,0,111207,1634,-134139,344.18,645623,2.6,-9.56,2905540,138568,137292
1495,34700716,12/31/07,71,SRL,47,12/31/99,2007,9277,863397,0,3721186,2026964,308699,4607844,186121,,243,182294,,,,,,,2367459,1754647,5395326,5250777,144549,707027,-47395,78364,0,-36044,61110,30937,,215588,3.14,16.62,1353727,-686553,101976
236,6520282,12/31/07,28,SRL,96,12/31/99,2007,21293,6552317,2300,158232,119198,31789,6819999,406994,,0,116844,,3988881,,0,,0,2273500,3988881,3026728,2670118,356610,1674274,-248931,248931,0,0,107679,63916,,716603,5.23,15.7,-2115268,-6168916,423909
143,3600392,12/31/07,39,SRL,25,12/31/99,2007,73121,636487,19477,4607830,1629097,1987087,5384278,2581910,,38814,887734,34430,17215,0,0,1164728,0,1849836,25984,6362237,5662903,699334,2305050,37942,5161,0,122,737398,418353,85.73,858948,12.99,16.2,2757994,1852825,577967
776,19650191,12/31/07,19,SRL,46,12/31/99,2007,13839,106426,0,3159776,1209021,794708,3293446,893365,,0,4402,0,0,17099,10304,652711,0,2385375,10304,3516739,2769738,747001,837649,23950,2798,0,5163,776114,478344,,779829,22.68,53.54,774401,773100,511172
2526,41720079,12/31/07,7,SPA,49,12/31/99,2007,1222981,41159429,1597889,4413715,3863344,170395,48790176,7571000,,596216,3530793,0,0,3242130,20867221,2591258,12353,11306921,20964754,16682699,15644815,1037884,10592976,-774737,1107998,0,0,263147,-329462,-14.82,3431158,2.13,-4.35,-6893206,-36409299,2063812
1167,27320233,12/31/07,23,SPA,46,12/31/99,2007,23785,52669,32422,5293702,3823152,361,5414281,668486,,0,246813,1835699,369293,0,0,1996496,0,4069531,369293,8077084,7802567,274517,1416634,-105308,232117,0,36751,205960,143300,131.4,321260,5.07,21.44,1224171,559610,190043
4453478,3124800230,12/31/07,23,SRL,24,5/27/09,2007,0,146726,0,2515712,1574832,660,2674392,130305,,0,25216,996979,0,0,0,1436479,0,2518871,0,4279256,4119773,159483,444983,-48823,50478,0,9013,119673,54472,,192196,5.96,41.8,-3159,-16421,87185
1064,26160564,12/31/07,56,SRL,10,12/31/99,2007,2116,313190,2915,3401422,1672993,364591,3736466,679866,,0,369622,1301880,0,0,0,666867,0,2685004,0,5229665,5159692,69973,749391,-77221,77236,0,-1,-7249,-37869,,124536,1.87,-5.57,716418,361645,16694
303,8010217,12/31/07,21,SPA,68,12/31/99,2007,514914,382032,393561,5512861,2231239,435746,7325240,1175223,,662468,374901,423169,78643,0,0,4371954,0,5017866,78643,18086877,17846322,240555,1976267,-75125,110909,-315706,174674,24398,172808,18.55,439164,3.28,14.7,494995,-115284,371417
2466,41530296,12/31/07,29,SRU,1,12/31/99,2007,126155,7819240,13836,1510151,803206,1146,9936580,2986127,,3461,25078,2720693,3366794,0,0,491690,0,3491235,3366794,4064104,3591369,472735,1429938,-429655,433484,0,17276,60356,36132,180.57,810876,4.76,1.21,-1981084,-4973104,374273
2397,41280389,12/31/07,39,SRL,46,12/31/99,2007,137612,914472,623884,1382010,417937,932728,3082348,2335427,,1821,84830,0,0,15042,0,381645,0,656845,0,3130044,3108567,21477,333449,27377,253,0,1300,50154,24716,,249327,0.7,1.06,725165,659459,252566
384,9840315,12/31/07,31,SRL,47,12/31/99,2007,3182,351910,6990,3118937,86872,794857,3485375,2306192,,0,390560,0,0,0,0,565682,0,696420,0,5245962,5121890,124072,898912,63712,7191,0,6626,194410,94349,-30.5,208299,3.56,4.09,2422517,1944110,178576
1293,30240949,12/31/07,94,SRL,47,12/31/99,2007,4165,1621279,0,5180179,4508411,53189,6826814,531643,,74077,288347,,,,,,,5543112,350920,5664351,5100146,564205,1354226,-198506,199309,0,19852,385551,202851,,719171,8.26,38.16,-362933,-1093801,357817
1325,30580484,12/31/07,48,SRL,22,12/31/99,2007,63656,663584,11945,2627947,1873430,457470,3410044,1003204,,9464,148300,66268,240000,0,0,1630415,0,1970897,262586,5706643,5579726,126917,754904,-10428,23985,0,16065,132554,45147,17.82,211129,3.72,4.5,657050,264019,129359
4464325,885040154,12/31/07,15,SRL,33,8/9/10,2007,1764,12551,0,1963607,1902751,54726,1978001,398998,,694,151718,800034,280208,0,0,296791,0,1146285,280208,1575319,1309242,266077,698589,-123274,123274,0,1308,144111,61695,,278394,13.45,15.46,817322,384683,74012
736,18160309,12/31/07,30,SRL,28,12/31/99,2007,21079,65589,876603,4889894,2649991,443148,5899304,199563,,0,290502,534762,0,300000,0,777375,0,5400388,0,2651789,2437719,214070,816834,-50322,72173,0,-2354,161394,121366,589.02,267546,3.63,60.82,-510494,-763708,174842
1620,35910074,12/31/07,7,SRL,8,12/31/99,2007,4758,478377,4561,1942087,1335087,0,2447622,857838,,7098,267570,544272,0,0,42321,533346,0,1272795,42320,2913609,2831656,81953,764965,-40752,40999,0,0,41201,2294,,155836,3.35,0.27,669292,370142,76177
252,6680011,12/31/07,1,SRL,31,12/31/99,2007,1124,638642,516,1652061,682449,224656,2323382,1015346,,0,80377,0,0,0,698781,287882,0,522886,698781,1717617,1640745,76872,597407,-20979,25459,0,1743,57636,7936,,147574,3.31,0.78,1129175,375064,78638
1264,29870391,12/31/07,39,SRL,28,12/31/99,2007,21827,1732653,5351,12494973,5555806,3960025,15522588,6233934,,0,462196,68720,0,0,0,2756959,0,8500113,0,12904314,10777172,2127142,4169032,110269,30849,0,39800,2277211,1333738,341.84,2312275,13.7,21.39,3994860,4474103,1518871
1922,40040388,12/31/07,38,SRL,28,12/31/99,2007,359645,146413,1871,2069407,512556,8123,2585053,167234,,18883,173184,1116120,0,0,0,196946,0,1368167,848228,1543452,1728600,-185148,304657,-98175,97524,0,301105,17782,9000,,-36662,-7.16,5.38,701240,-340695,157486
1374,31110414,12/31/07,41,SPA,13,12/31/99,2007,1689939,14358044,285572,57912122,24701505,540136,75815382,14618311,,1134810,1409253,28695614,12094657,0,0,13018794,0,46141429,12094657,65023085,55391811,9631274,17975812,-2505925,2115222,0,120030,7245379,4324118,402.42,11764702,12.7,29.58,11770693,-1715244,6457546
1515,34840074,12/31/07,7,SRL,41,12/31/99,2007,212946,1372841,20217,1969297,1176962,1605,3609259,104202,,113882,163562,654616,383443,0,0,834290,0,2638619,588181,3079423,2730227,349196,1426473,-280234,285817,0,-2,68960,1660,,648525,9.68,1.59,-669322,-1501802,300989
2333,41040627,12/31/07,62,SRL,41,12/31/99,2007,36,4224045,0,164781,157970,6811,4396594,792539,,0,23873,109798,2708070,0,0,157772,0,783926,2708070,1478354,1330594,147760,301484,-153762,158175,0,56411,50411,8408,-50.49,174938,3.36,1.06,-619145,-3431542,35586
2262,40900078,12/31/07,7,SRL,11,12/31/99,2007,85550,1541965,1224785,4982573,3081289,72004,8630772,403621,,111253,238621,711704,0,2092132,254968,2954593,0,6136355,1627040,6761090,6902162,-141072,695751,-181623,256628,0,2,-322693,-343893,,26881,-1.63,-85.2,-1153782,-2448679,-175940
1206,28460475,12/31/07,47,SRL,22,12/31/99,2007,72855,1008266,1722,6141393,4943540,35270,7232065,2004360,,17670,261479,1507867,176838,0,0,3075321,0,4631067,247432,11415911,11241436,174475,1394312,-67299,69290,0,6167,113343,16389,94.99,439092,2.41,0.82,1510326,921517,281006
2568,42010959,12/31/07,92,SPA,46,12/31/99,2007,840,483249,776557,20111143,12062282,1299358,21378442,4545328,,23380,857992,1677316,0,0,0,13956585,0,15838745,0,69307494,68782181,525313,2395734,-394443,445291,0,33428,164298,30299,18.61,671495,2.46,0.67,4272398,3284682,176481
2425,41310624,12/31/07,62,SRL,8,12/31/99,2007,326690,2018371,53195,17068326,14973161,35165,19506313,3189427,,986,542262,5445066,0,0,1906226,7628296,0,13540429,1936201,9217439,8672076,545363,1731226,-387181,387652,0,-19218,138964,12240,276.36,790845,2.8,0.38,3527897,791171,257722
1978,40210775,12/31/07,77,SPA,11,12/31/99,2007,19275,3121830,23797,32966167,16931498,12895830,36264788,22922220,,954793,636305,2833,0,0,0,5438379,0,11299745,0,26659888,22571667,4088221,6892046,515722,17921,8710,350453,4963106,3004109,267.18,4468419,11.27,13.11,21666422,19757318,3384307
2374,41200627,12/31/07,62,SPA,25,12/31/99,2007,161231,16570026,51998,45125775,25403843,4899027,61968051,22715078,,1491490,1382917,24096927,4823630,0,0,4911119,0,29604172,4823630,51199607,47787033,3412574,10603762,-1952382,1130089,0,229725,1689917,514433,306.16,6052220,5.51,2.26,15521603,5931823,3154079
2407,41290297,12/31/07,29,SPA,28,12/31/99,2007,58302,2901308,50619,3603163,1642372,2127,6625144,1261382,,0,494530,316106,689027,0,0,1417961,0,3249433,1389027,5338122,5102870,235252,1671335,-131561,133419,0,-3227,100463,12991,,401322,3.55,1.03,353730,-1748847,179061
2223,40800401,12/31/07,40,SRL,38,12/31/99,2007,157189,1171234,12,6985011,2234627,33000,8341031,477181,,22162,91906,5190921,233262,0,0,2122104,0,7488512,233262,36991528,36473700,517828,1166231,-313208,314453,0,23580,228200,51400,49,730655,6.21,10.77,-503501,-851254,264227
949,23530173,12/31/07,17,SRL,46,12/31/99,2007,0,688188,4000,1443785,884749,6736,2146675,278352,,0,152208,184969,488130,0,0,198890,0,1222589,493526,2391993,2346046,45947,302197,-42529,42542,0,0,3418,-13105,195.22,71714,2.14,-4.71,221196,-413836,12662
1857,39640289,12/31/07,28,SRL,71,12/31/99,2007,509,47948,207,1883716,834046,791912,1941411,230108,,0,12257,0,0,3095,0,554265,0,1690881,0,1865199,1634900,230299,356102,16137,3371,0,4316,250752,138395,115.76,242843,11.86,60.14,192835,181444,150939
72,2040061,12/31/07,6,SPA,46,12/31/99,2007,23162,1524285,1,1410043,639403,225421,3019952,1025609,,28579,133215,561513,701665,0,0,345015,0,1036782,707934,2476656,2221602,255054,766407,-66729,115800,0,10041,198366,74090,163.8,376754,8.45,7.22,373261,-521839,195790
1863,39690755,12/31/07,75,SRL,15,12/31/99,2007,6951,2591276,112138,1398628,743690,21161,4120528,1313198,,49087,396026,850000,0,0,0,0,0,1991617,0,2555333,2589141,-33808,1029831,-52103,54519,0,-2451,-88362,-112918,,14587,-0.82,-8.6,-592989,-1397167,-64523
1282,30220941,12/31/07,94,SRL,41,12/31/99,2007,29346,16331,0,7946284,1885045,318585,8270444,142328,,20820,80000,265894,5973913,0,0,803479,0,1424044,6573913,1206210,797143,409067,504360,-316918,399672,0,79994,172143,75103,,411801,4.95,52.77,6522240,96651,77837
1805,38730123,12/31/07,12,SAU,22,12/31/99,2007,56750,3678077,3772995,7831788,5326573,524815,15373315,6728720,,117157,1057456,1931717,2028631,0,0,1852121,0,4406592,2803316,9683597,9307299,376298,3383678,-103636,190982,0,5590,278252,53790,147.72,1157167,2.45,0.8,3425196,-779102,834659
170,4000345,12/31/07,34,SRL,16,12/31/99,2007,12312,724272,6995,6485161,3677943,40463,7258486,642987,,0,316678,3581073,,531776,,1979096,,5770150,525871,7159988,6774292,385696,1346385,-294279,312274,0,2,91419,21652,,466569,5.31,3.37,715011,-100592,102525
496,13010244,12/31/07,24,SRL,45,12/31/99,2007,1395,996048,1421,739003,546713,48,1738361,224448,,0,121470,457837,310000,0,0,425650,0,1051695,310000,1928690,1782497,146193,609302,-37644,37644,0,-1,108548,49145,53.76,188842,8.41,21.9,-312692,-774416,91794
749,18880039,12/31/07,103,SRU,38,12/31/99,2007,40002,816660,1,7969272,6977251,301337,9011727,168801,,264765,159535,1695520,0,163855,0,5748589,0,8412210,0,22136771,21578830,557941,1917894,-266471,269287,-1291727,-1,-1000258,-1202954,-54.43,888491,6.19,,-442938,-687862,-872404
4470367,1602740027,12/31/07,96,SRL,46,8/9/10,2007,19360,1156455,0,6350409,1020285,1893889,7638044,579842,,0,215121,2177828,909442,0,0,3509150,0,5894019,909442,8468137,8069500,398637,1383158,-285553,335108,0,-3957,109127,4672,,461280,5.22,0.81,456390,-595973,67315
1605,35580281,12/31/07,28,SRL,41,12/31/99,2007,820,0,106,2485245,92870,210,2486257,1238,,0,0,1471407,0,0,0,157546,0,1861553,589554,1592662,1518740,73922,74195,-85401,85401,0,0,-11479,-10012,,74195,2.97,,623692,312,-9739
1395,31620529,12/31/07,52,SRL,46,12/31/99,2007,3097,889663,644947,3820484,2777328,36223,5374043,664142,,36351,130880,,,,,,,3788577,753428,7368671,6688354,680317,1457951,-208993,230833,0,-2,471322,191807,,795274,12.66,28.88,31907,-873565,306764
2492,41580291,12/31/07,29,SRL,23,12/31/99,2007,0,668640,1073113,2983816,2708588,742,4764498,1398809,,25713,291497,1264330,48202,0,0,1507727,1666,2973597,74830,6444135,6291220,152915,876951,-45695,46247,0,2,107222,26757,,201460,3.21,1.91,10219,-342944,75302
953,23530512,12/31/07,51,SRL,68,12/31/99,2007,0,2916376,736346,199093,168470,30623,3853730,-182326,,0,40354,0,3304012,0,0,24590,0,563495,3304012,3073586,3242316,-168730,482439,-249186,256554,0,-80000,-497916,-424743,0.8,-80796,-4.38,,-364402,,-336809
4515829,1186910095,12/31/07,10,SRL,41,2/9/11,2007,1448,0,491118,6172273,1215736,476627,6682588,470907,,0,0,3767000,0,0,0,338032,0,5535766,655450,4081269,3508023,573246,575623,30397,1732,0,-1429,602214,380520,466.93,575623,8.58,80.81,636507,-21659,382897
52,1650282,12/31/07,27,SRL,25,12/31/99,2007,881316,1128642,8231,9409128,7315239,2059048,11697332,3126891,,229782,481411,1513701,34259,0,0,4911170,0,7824989,34259,16379210,15643855,735355,2942560,-37000,91282,-1457,62224,759122,506075,-3.19,1097368,6.29,16.18,1584139,1108702,868088
80,2340420,12/31/07,42,SRL,47,12/31/99,2007,0,58749,0,1994918,747994,65405,2068300,1052112,,0,138170,29763,7650,0,0,737873,0,870368,7650,2599566,2554624,44942,373635,-2881,3301,0,1,42062,7679,,61648,2.17,0.73,1124550,993363,24385
1215,28600161,12/31/07,16,SPA,32,12/31/99,2007,177885,462079,0,6866483,5869851,544792,7541500,3668099,,0,525447,0,0,0,0,2540902,0,3347510,0,12978604,11416853,1561751,3640030,-37339,18479,0,22396,1546808,903735,69.79,1718291,20.71,24.64,3518973,3028135,1060275
597,14980213,12/31/07,21,SRL,68,12/31/99,2007,0,323838,1234000,44515,44302,213,1602353,714492,,0,0,0,0,0,0,0,0,0,0,107549,28725,78824,95684,-42570,42570,0,2,36256,11201,,95684,4.92,1.57,44515,-843346,28061
1532,35010503,12/31/07,50,SPA,47,12/31/99,2007,15664,526855,1240,2274702,518457,905881,2824206,664106,,4962,120672,352440,44129,0,0,1125622,0,1590337,444129,3828592,3549833,278759,718944,-44196,46130,0,425,234988,125747,,334929,9.87,18.93,684365,120347,181917
114,2890408,12/31/07,40,SPA,43,12/31/99,2007,2409029,31875124,59321193,144525085,97473373,8899382,239055470,17938039,,4293448,4979601,9982506,36518566,0,0,38129895,0,174383322,36518566,145890153,135114113,10776040,48125004,-6443089,7667137,0,51579,4384530,-3292829,261.37,15242060,4.51,-18.36,-29858237,-75667307,1173191
22,520288,12/31/07,28,SRL,14,12/31/99,2007,126603,1127807,620,484753,455224,14279,1769122,70060,,0,64909,522502,124241,851,0,108895,0,801760,832305,2041155,1931401,109754,363557,-18382,13569,0,820,92192,36733,,153060,6.2,52.43,-317007,-1184970,80039
1692,37190212,12/31/07,21,SRL,46,12/31/99,2007,4025,1335179,833,1151858,678098,1443,2506928,348106,,0,111602,1001802,0,0,0,310263,0,1425797,590000,2642187,2473476,168711,682713,-36197,43152,-9722,1,122793,52471,130.02,224272,6.73,15.07,-273939,-991931,108032
4463916,792000150,12/31/07,15,SRL,20,6/7/10,2007,55709,3621919,108456,5391184,4166252,135740,9511322,801814,,80408,228226,4547947,0,1180000,0,1840460,0,8387656,0,5418463,5314141,104322,759246,-260045,261418,0,0,-155723,-190685,111.79,160251,1.1,-23.78,-2996472,-2984270,-134756
2498,41600073,12/31/07,7,SRL,25,12/31/99,2007,153189,2785139,138937,15055203,10516073,549555,19433286,3186306,,939254,1646287,1831417,68083,2954486,75467,7019232,0,13085307,143550,19375264,18852664,522600,4344355,-311509,357489,-19720,0,191371,1773,118.69,1239853,2.69,0.06,1969896,109041,719026
1105,26830885,12/31/07,88,SRL,10,12/31/99,2007,44396,1178528,188647,2931568,1887022,30037,4353957,2866879,,0,195341,55098,0,0,0,783472,0,1135692,0,8406475,7987508,418967,1031009,484,4720,0,-218,419233,224617,97.06,579318,9.62,7.83,1795876,1455308,384968
232,6350136,12/31/07,13,SPA,22,12/31/99,2007,40239,3615913,9791,2251066,844674,257636,5939241,1298448,,29207,432620,1122209,599528,0,0,2170885,0,3570480,599528,10002663,9772997,229666,2426429,-251244,258159,0,55850,34272,-80172,0.44,429086,3.87,-6.17,-1319414,-2367495,119248
194,5060157,12/31/07,98,SRL,46,12/31/99,2007,608,273376,3000,1316399,486076,174204,1594919,636556,,0,171350,0,81829,0,0,524948,0,703670,81829,2276531,2071841,204690,512980,-33710,34868,0,221,171201,91145,116.99,211867,12.83,14.32,612729,359572,98322
